subject,predicate,object
older_adults_with_pneumonia,has_symptom,acute_confusion
pneumonia,is_caused_by,fungi
measles vaccine,is_type_of,vaccine
pneumonia,is_treated_by,symptomatic relief medication
pneumonia,is_treated_by,bronchoscopic intervention
babies_with_pneumonia,has_symptom,paroxysmal_cough
pneumonia,leads_to_complication,severe infection
other_medical_conditions,has_risk_factor,prolonged_corticosteroid_therapy
pneumonia,has_symptom,vomiting
pneumonia,is_caused_by,influenza virus infection
pneumonia,associated_with,pleural effusion
immune system,has_risk_factor,immunodeficiency
viruses,is_caused_by,human_rhinovirus
asthma,is_a,chronic_respiratory_disease
fungi,is_caused_by,pneumocystis_jirovecii
pneumonia,has_risk_factor,diabetes_mellitus
pneumonia,has_risk_factor,pediatric population under 5
antifungal therapy,treats,fungal pneumonia
pneumonia,has_symptom,chills
pneumonia,has_risk_factor,ventilator-associated pneumonia
influenza vaccine,is_type_of,vaccine
pneumonia,occurs_with,fungal infection
age,has_risk_factor,geriatric_age_group
hospitalization,is_required_for,pneumonia
pneumonia,associated_with,ventilator use
pneumonia,is_diagnosed_by,primary healthcare evaluation
pneumonia,has_symptom,myalgia
bacterial pneumonia,is_caused_by,bacterial agents
community_acquired_pneumonia,is_caused_by,pneumococcal_disease
pneumonia,has_symptom,febrile chills
alveolar consolidation,is_characteristic_of,pneumonia
pneumonia,has_risk_factor,cystic fibrosis
pneumonia,leads_to_complication,renal impairment
pneumonia,has_risk_factor,avian or zoonotic exposure
pneumonia,is_prevented_by,respiratory hygiene practice
pneumonia,leads_to_complication,cardiac dysfunction
pneumonia,is_treated_by,intravenous_antibiotics
pneumonia,is_treated_by,antibiotic therapy
pneumonia,leads_to_complication,life-threatening condition
smoking,is_risk_factor,impaired pulmonary function
pneumococcal vaccines,associated_with,immunocompromised individuals
pneumonia,has_risk_factor,preexisting medical conditions
bronchopneumonia,leads_to_complication,pulmonary_consultation
pneumonia,has_risk_factor,tobacco_smoking
influenza vaccine,prevents,pneumonia
mechanical ventilation,treats,respiratory failure
pneumonia,has_risk_factor,age_80_years_or_older
pertussis vaccine,prevents,pneumonia
bacterial pneumonia,is_caused_by,bacterial pathogens
pneumonia,is_treated_by,antiviral therapy
viruses,is_caused_by,sars_cov_2
environment,has_risk_factor,air_pollution_exposure
pneumonia,is_prevented_by,immune system enhancement
bacterial_pathogens,includes,streptococcus_pneumoniae
lifestyle_habits,has_risk_factor,substance_abuse
pneumonia,leads_to_complication,necrotizing pneumonia
pneumonia,is_prevented_by,hand hygiene practice
pneumonia,leads_to_complication,multiorgan_failure
pneumonia,is_caused_by,adenovirus_infection
pneumonia,has_risk_factor,malnutrition
antibiotic therapy,treats,bacterial pneumonia
pneumonia,has_risk_factor,chronic_heart_disease
pneumonia,is_caused_by,respiratory_syncytial_virus_infection
babies_with_pneumonia,has_symptom,intercostal_retraction
vaccines,include,pneumococcal vaccine
smoking cessation,prevents,pneumonia
bacteria,is_caused_by,mycoplasma_pneumoniae
pneumonia,has_risk_factor,comorbidities
pneumonia,has_symptom,cough
vaccines,include,haemophilus influenzae type b vaccine
pneumonia,is_caused_by,streptococcus pneumoniae infection
pneumonia,is_treated_by,antibiotic_medications
pneumococcal vaccines,associated_with,tobacco users
pneumonia,is_treated_by,antiviral_medications
healthy diet,prevents,pneumonia
viral_pathogens,includes,respiratory_syncytial_virus
pneumonia,is_prevented_by,social distancing measure
dysphagia,leads_to_complication,salivary aspiration
other_medical_conditions,has_risk_factor,nosocomial_pneumonia
other_medical_conditions,has_risk_factor,neurological_disorders
other_medical_conditions,has_risk_factor,chemotherapy_induced_immunosuppression
pneumonia,associated_with,oxygen saturation levels
pneumonia,has_symptom,shortness_of_breath
pneumonia,associated_with,bronchoscopic airway evaluation
pneumococcal vaccines,associated_with,older adult population
pneumonia,is_prevented_by,substance abuse avoidance
pneumonia,has_risk_factor,copd
fungal pneumonia,is_caused_by,fungal agents
pneumonia,is_prevented_by,reducing indoor air pollution
pneumonia,is_prevented_by,pneumococcal immunization
pneumonia,is_treated_by,physical therapy
pneumonia,leads_to_complication,renal dysfunction
babies_with_pneumonia,has_symptom,hyperthermia
pneumonia,has_risk_factor,comorbid_conditions
good hygiene,prevents,pneumonia
pneumococcal vaccine,is_type_of,vaccine
pneumonia,is_caused_by,parasites
pneumonia,leads_to_complication,hepatic dysfunction
hand washing,prevents,pneumonia
pneumonia,has_symptom,pleuritic chest pain
antibiotic therapy,treats,bacterial proliferation
vaccines,include,influenza vaccine
pneumonia,is_caused_by,influenza_virus_infection
pneumonia,has_symptom,dyspnea
pneumonia,leads_to_complication,acute_respiratory_distress_syndrome
influenza vaccine,is_prevented_by,annual vaccination
pneumonia,has_risk_factor,serious underlying condition
viral pneumonia,is_caused_by,viral agents
pneumonia,is_diagnosed_by,community health assessment
pneumonia,has_symptom,nausea
hydration,treats,pneumonia
babies_with_pneumonia,has_symptom,projectile_vomiting
pneumonia,has_symptom,fatigue
pneumonia,is_treated_by,antifungal therapy
older_adults_with_pneumonia,has_symptom,hypothermia
pneumonia,leads_to_complication,lung infarction
pneumonia,is_treated_by,oral antibiotic therapy
pneumonia,associated_with,community health worker intervention
healthcare_acquired_pneumonia,occurs_with,healthcare_facility_stay
viral_pathogens,includes,varicella_zoster_virus
pneumonia,has_risk_factor,exposure to infectious individuals
pneumonia,is_treated_by,empiric_antib
pneumonia,occurs_with,legionnaires' disease
pneumonia,has_risk_factor,liver disease
pneumonia,is_prevented_by,tobacco cessation
pneumonia,has_symptom,cough_with_mucus_production
pneumonia,associated_with,alveolar consolidation
pneumonia,is_prevented_by,influenza immunization
environment,has_risk_factor,chemical_fume_inhalation
viruses,is_caused_by,respiratory_syncytial_virus
pneumonia,is_caused_by,chlamydophila_psittaci_infection
pneumonia,is_caused_by,human_metapneumovirus_infection
viral pneumonia,is_caused_by,viral pathogens
community_acquired_pneumonia,is_caused_by,mycoplasma_pneumoniae_infection
chronic_disease_management,includes,asthma_management
pneumonia,is_treated_by,amoxicillin therapy
bacteria,is_caused_by,legionella_pneumophila
measles vaccine,prevents,pneumonia
pneumonia,is_caused_by,bordetella_pertussis_infection
dysphagia,leads_to_complication,aspiration pneumonia
pneumonia,is_diagnosed_by,pulse oximetry
pneumonia,associated_with,pulmonary inflammatory response
pneumonia,is_treated_by,pulmonary rehabilitation program
bacterial_pathogens,includes,haemophilus_influenzae
pneumonia,has_symptom,diarrhea
pneumonia,is_treated_by,thoracocentesis procedure
pneumonia,has_risk_factor,chronic_lung_disease
pneumonia,leads_to_complication,pleural disorder development
influenza vaccine,associated_with,influenza season
pneumonia,has_risk_factor,untreated infection
haemophilus influenzae type b vaccine,is_type_of,vaccine
pneumonia,has_risk_factor,geriatric population over 65
pneumonia,has_symptom,fever
pneumonia,has_risk_factor,kidney disease
pneumonia,leads_to_complication,sepsis
pneumonia,has_risk_factor,excessive_alcohol_consumption
rest,treats,pneumonia
amoxicillin,treats,pneumonia
pneumonia,leads_to_complication,respiratory failure
pneumonia,is_prevented_by,immunization against pertussis
pneumonia,is_treated_by,oxygen_therapy
babies_with_pneumonia,has_symptom,lethargy
regular exercise,prevents,pneumonia
pneumonia,leads_to_complication,exacerbated cardiac disease
pneumonia,is_treated_by,vaccination
pneumonia,has_symptom,productive_cough
babies_with_pneumonia,has_symptom,taachypnea
pneumonia,is_diagnosed_by,polymerase chain reaction (pcr) testing
pneumococcal vaccines,associated_with,young child population
lifestyle_habits,has_risk_factor,tobacco_use
other_medical_conditions,has_risk_factor,human_immunodeficiency_virus_infection
pneumonia,has_risk_factor,chronic_liver_disease
pneumonia,associated_with,underlying_health_status
pneumonia,leads_to_complication,acute respiratory distress syndrome (ards)
pneumonia,is_treated_by,rest therapy
babies_with_pneumonia,has_symptom,cyanosis
pneumonia,is_prevented_by,pneumococcal_vaccination
pneumonia,is_treated_by,physical therapy intervention
pneumonia,is_prevented_by,pneumococcal_polysaccharide_vaccine
babies_with_pneumonia,has_symptom,grunting_respiration
pneumonia,is_prevented_by,hygiene_measures
pneumonia,has_risk_factor,behavioral_risk_factors
pneumonia,has_risk_factor,underlying comorbidities
pneumonia,is_caused_by,bacterial infectious process
pneumonia,is_treated_by,antiviral_therapy
pneumococcal vaccines,associated_with,chronic disease patients
babies_with_pneumonia,has_symptom,agitation
pneumonia,leads_to_complication,cardiac injury
pneumonia,has_symptom,feverishness
pneumonia,is_caused_by,legionella_pneumophila_infection
bacteria,is_caused_by,streptococcus_pneumoniae
other_medical_conditions,has_risk_factor,solid_organ_transplant
pneumonia,is_diagnosed_by,pleural fluid culture testing
pneumonia,has_risk_factor,incomplete vaccination
pneumonia,is_prevented_by,healthy diet
pneumonia,associated_with,weakened immune system
ventilator_associated_pneumonia,occurs_with,invasive_ventilation
pneumonia,is_caused_by,bacterial_pathogens
pneumonia,has_risk_factor,geriatric_population
pneumonia,leads_to_complication,lung abscess formation
pneumonia,is_prevented_by,immunization
oxygen supplementation,treats,hypoxemia
pneumonia,has_risk_factor,recent travel history
pneumococcal vaccines,is_prevented_by,vaccination administration
exclusive breastfeeding,prevents,pneumonia
other_medical_conditions,has_risk_factor,pregnancy
pneumonia,is_diagnosed_by,sputum testing
surgical intervention,treats,infected pulmonary tissue
pneumonia,is_treated_by,antifungal_therapy
pneumonia,is_diagnosed_by,arterial blood gas testing
severe_pneumonia,leads_to_complication,intensive_care_unit_admission
